species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id|genus|family|myFert3|myFert5|myFertGen|myHeavyMet|myPlantAtRange|myPlantAtRarity|myRarityCombined|myEBergL|myEBergF|myEBergR|myEBergN|myEBergS|myPlantAtNativeStatus|myPlantAtConservationStatus|myPlantAtChangeIndex|myPlantAtHeight|myPlantAtLen|myPlantAtPern1|myPlantAtPern2|myPlantAtLife1|myPlantAtLife2|myPlantAtWood|myPlantAtClone1|myPlantAtClone2|myPlantAtMajorBiome|myPlantAtEastLim|myPlantAtCont|myPlantAtTjan|myPlantAtTjul|myPlantAtPrecip|myLocalRarity
achillea_distans|narrowed||||||0|||||||||||||54|||||||||||||||||patch, polycarpic|||5||||petiolate||||||||||||||||||||||autotrophic|self supporting|120|||||||Chamaephyte||||capitulum||||none||||||17.5||||||stolons||||||||||compound|5|length > breadth||||||||||||||||white, white|||||||||||||||||1|||||fertile, infertile|||1.5||||toothed|none||2|pointed|does not kill insects||||||||none||0.152, 0.396|||||non woody|||||||||||free draining||||||1690580220|achillea|compositae|||||||||||||||||||||||||||||||
achillea_ligustica|narrow|1906|||||0|Europe, N. Africa|||||patch||||||||||||||||||||||||polycarpic|||5||||petiolate||||||||||||||||||||||autotrophic||80|||||||Chamaephyte|N. Lincolnshire|||capitulum||||||||||6.5||||||stolons||||||||||compound|5|||||||||||||||||white|||||||||||||||||1|||||fertile, infertile|||||||dentate|||2|1-3 x as long as broad, pointed|does not kill insects||||||||none||0.2908||||||||||||||||free draining||||||1690580340|achillea|compositae|||||||||||||||||||||||||||||||
achillea_millefolium|parallel-sided|1538|absolute, none|deep||both, both|0|Asia, Europe||1-2 yrs|present, mechanism unknown|C3|diffuse ramets|5x, nan|4.7||||8|54|1716|0.29|||||||0.48||eaten by birds, eaten by mammals, wind||||seed and vegetative|103, 86.98|polycarpic||long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5||||petiolate, sessile|8|partial|0.225, 0.275||1.7|1, 1, 1|1213|10-100|insect|native|Chamaephyte|8||<45|resists|7, 7, 8|No|4, 5, 5||Not continental|2.1|autotrophic|self-supporting|45||6||summer||4.51|chamaephyte|||6, 6x, nan|capitulum|4, 5, 5|28|14.5|none||0|0-2|||14.4, 15.30|3.88||1-5 yrs|none|160|rhizomes, stolons|gynomonoecious|epigeal|obligatory cross|Rhizome far creeping|Present||||present|compound|5|>3 times as long as wide|10-50|||33|||pseudometallophyte||0.28||||soft hairs||No|white, white|autumn, spring||||1000-10000|||>65|16, 39.7|6|||25.5, 30.2|height > width|partial|1-10|1|||||infertile|||2.1|||580|lobed and toothed||0|2|pointed|does not kill insects|Australasia, North America||||0||evergreen|none|1103.0|0.16, 0.2||3.5|||non-woody||adventitious|60|4|||||1.96|Boreo-Temperate|||salt-affected|frequent||Eurasian|1690580240|achillea|compositae|outcrossing|outcrossing|generally cross||3756.0|n|n|7.0|5.0|6.0|4.0|1.0|N||0.29|45.0||p||Ch||h|Rhiz2||5|5||3.5|14.5|1103.0|frequent
achillea_ptarmica|parallel-sided|1597|none|||both|0|Asia, Europe||||C3|patch-forming|5, 6|4.32||||20|18|113|-0.65||||||3|||carried by mammals, rainwash, wind||||seed and vegetative|130||<1|long-term persistent, seedbank present, type uncertain, transient|5||||sessile|8|||||0, 0, 0|731||insect|native|Hemicryptophyte|6.94||<45||7, 7, 8|No|2, 3, 4||Not continental|1.8|autotrophic|self-supporting|60|||||4.92|4.71|hemicryptophyte|London|0|4, 4, 5|capitulum|7, 8, 8|21|14.0|none||0||||5.8|4.31||||84|creeping stock|gynomonoecious|||Rhizome shortly creeping|Present|||||simple|5|>3 times as long as wide|||||||none|||glabrous, soft hairs|||glabrous||No|white|spring||||||4.86|>65|125|7|6.26||25|height = width||1-10|1|||4.64||fertile, infertile|||1.8||6.87||toothed||0|2|pointed|does not kill insects|North America||6.32||0||aestival|light, none|1146.0|0.2, 0.31||3.3|||non-woody||||54||||||Boreo-Temperate||||frequent||Eurasian|1690580170|achillea|compositae||||none|2874.0|n|n|7.0|7.0|5.0|3.0|0.0|N||-0.65|60.0||p||hc||h|Rhiz1||5|5||3.3|14.3|1146.0|frequent
clinopodium_acinos|cuneate||||||5|Asia, Europe||||C3|no ramets|6, 7|||||10|18|702|-1.59||||||3|||||||seed|||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5||||petiolate|9||0.85|||0, 0, 0|274||insect|native|Therophyte|||<45||8, 9, 9|No|1, 1, 2||Not continental||autotrophic|self-supporting|20||||||3.43|therophyte|||5, 7, 8|whorl|2, 2, 2|27|16.0|none||0|||||1.84||||270.5|none|hermaphrodite|||Little or no vegetative spread|Present|||||simple|4|1-3 times as long as wide|||||||none|||glabrous|||soft hairs||No|violet|autumn|||||||60-65||5||||height < width||0.1-1|1|||||very infertile||||||370|crenate|mucilage||2|pointed|does not kill insects|||||0|||none|778.0|0.167, 0.167, 0.17, 0.26, 0.44||3.6|||non-woody||||15||||||Temperate||||scattered||European|1510260040|clinopodium|||||none|551.0|n|n|8.0|2.0|8.0|1.0|0.0|N||-1.59|22.0||a||Th||h|0||7|3||3.6|15.8|778.0|scattered
aconitum_napellus|cuneate|1821||||lower|5|Europe|||none, present, mechanism unknown|C3|||||||50|32||||||||||||||||0||<1||4||||petiolate|6||2|||0|||insect|native|Non-bulbous geophyte|||<45||5|Yes|6||Not continental||autotrophic|self-supporting|100||||||4.94|geophyte|Herefordshire||7|raceme|7|16|16.0|none|||||||3.17|56|||||hermaphrodite||normally cross, obligatory cross|Rhizome shortly creeping|Scarce|||||compound|5|1-3 times as long as wide|||||||none|||glabrous, soft hairs|||soft hairs||No|blue||||||||50-55|71|5||||height > width|||3|||||fertile, very fertile|||4.5||||lobed|||3|pointed|does not kill insects||||||||deep, light, mid|964.0|3.1, 3.62||4.0|||non-woody|||||||entirely protandrous|||Temperate||||||European|610110110|aconitum||mixed|normally cross|generally cross|none|104.0|s|s|5.0|7.0|7.0|6.0|0.0||||100.0||p||Gn||h|Rhiz1||7|3||4.0|15.8|964.0|
aconitum_lycoctonum_subsp_vulparia||||||||||||||5.0, nan||||||||||||||||||||||||||||||||||||0.0, nan||||||||||4.0, nan||7.0, nan||||||||||||||||7.0, nan||7.0, nan|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||3.936||||||||||||||||||||||920007135|aconitum||||||||||||||||||||||||||||||||
aconitum_x_cammarum=a_napellus_x_a_variegatum|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||raceme||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||numerous||||||||||||||||||||||||||||||||||920002985|aconitum||||||||||||||||||||||||||||||||
acorus_calamus|parallel-sided|1666|||||0|Asia||||C3|patch-forming|6, 6||||||24, 36||0.69||nil, slight||||5|||||||vegetative||||transient|6||||sessile|7||0.25|18||0, 0, 1|||none|naturalised|Perennial hydrophyte|||||8, 8, 8|No|7, 7, 7||Not continental|4|autotrophic|self-supporting|100||||||3.51|helophyte, hydrophyte|Surrey|0|7, 7, 7|spadix|10, 10, 10||16.0|none||||||1.3|2.53|||||rhizomes|hermaphrodite||apomictic|Rhizome far creeping||||||simple|6|>3 times as long as wide|||||||none|||glabrous||||emergent|No Data|green||||eutrophic, mesotrophic|||5.2|||5|||21|height > width||100-1000|0|||||fertile, very fertile|||||||entire||0|1|pointed|does not kill insects|Europe, North America||7.2|||||none|770.0|3.72, 9.1||3.6|||non-woody||adventitious|||||markedly protogynous|||Mediterranean||||scattered||Hyperoceanic|1950010010|acorus||mixed|mixed|mixed|none|536.0|||8.0|10.0|7.0|7.0|0.0|AN||0.69|112.0||p||Hy||h|Rhiz2|||||3.6|15.8|770.0|scattered
acorus_gramineus|parallel|||||both|0||||||patch||||||8|||||slight|constant|||||||||high||||||6||||0, sessile||||||||||||||||||||||autotrophic|self supporting|50|||||||Helophyte, hydrophyte||0||spadix||||none||||||0.8||||||rhizome|hermaphrodite|||||||||simple|6|3x as long as broad||||||||||glabrous||resistant|glabrous|||0.25, yellow|||||||||||||18|||100-1000|0||||glabrous|fertile|||||||entire|||1|pointed|does not kill insects||||||||none|||||||non woody||adventitious|||||||||poor|glabrous|||||920004517|acorus||||||||||||||||||||||||||||||||
acroptilon_repens|||temperature||||0||||||patch|||||||26|||||||0.5||||ballistic||||vegetative||polycarpic|>1||5|||||||1.25||||2835||insect||||||wilts|||||||autotrophic|self-supporting|100|||||||hemicryptophyte||||capitulum|||||||||35||||2-3|alternating||root buds|monoecious|||||||||simple|5|||||||||||arachnoid-tomentose|||arachnoid-tomentose|||pink|||||100-500|||||||||ht > width|||1|||||fertile, infertile|||3||||lanceolate|pappus||2|acute|does not kill insects|||||||||||||||woody at base||||||Armenia, Azerbaijan, Turkey, Russia, Ukraine||0|||free, slow draining||salt affected|dominant|||1691360010|acroptilon||||||||||||||||||||||||||||||||dominant
actaea_spicata|rounded|1597||||lower|4|Asia, Europe|||none|C3||5, 5|||||30|16||-0.44||||||4|||eaten by birds|||||0||<1|transient|5||||petiolate|6||0.5|||0, 0, 0|450, 500|1-10|insect|native|Non-bulbous geophyte|||<45||3, 3, 3|No|6, 7, 7||Not continental|10|autotrophic|self-supporting|65||||||2.2|geophyte|Barnard Castle, Durham||6, 6, 8|raceme|5, 5, 5|22|14.0|none||0, 25|||||4.42|22||none||rhizomes|hermaphrodite||cross or automatic self|Rhizome shortly creeping|Scarce|12||||compound|numerous|1-3 times as long as wide|10-50||||||none|||hairy|||glabrous||No|white|spring|||||||>65|45|5||||height > width|||1|||||fertile, very fertile||3464|4||||toothed|||1|pointed|does not kill insects|||||0|||deep, light, mid, none|1054.0|6.6, 6.7||2.5|||non-woody|||||||protogynous|||Boreal montane|free-draining|||dominant||Circumpolar|610080010|actaea||mixed|mixed|mixed|none|33.0|s|s|3.0|5.0|8.0|6.0|0.0|N||-0.44|60.0||p||Gn||h|Rhiz1||4|6||2.5|14.3|1054.0|dominant
adiantum_capillus_veneris||||||||||||||||||||||0.54||||||||||6|||||polycarpic|||||||petiolate||||||0||||native|Hemicryptophyte||exposed|<45||4|Yes|3||Not continental||autotrophic|creeping||||||||hemicryptophyte||15|8||7||15.0|none||0|6-12|||||||||rhizomes||||Little or no vegetative spread|Scarce|||||compound||||||||||||glabrous|||glabrous||No|||||||||50-55||||||height = width||||||||fertile|||||||lobed||3||rounded|does not kill insects|||||||aestival|light|1101.0|||5.2|||non-woody||adventitious|30, 45|||||||Mediterranean-Atlantic|free-draining||salt-affected|scattered||Oceanic|9006001|adiantum||||||71.0|s|s|4.0|7.0|8.0|3.0|0.0|N||0.54|30.0||p||hc||h|0||9|1||5.2|15.2|1101.0|scattered
adonis_annua|parallel-sided|1548|||||5|Asia, Europe||||C3|no ramets||||some non-viable||10|32||-2.19|||||||||||||seed|||<1|transient|6|declining|||subsessile|7||1|||0|||insect|naturalised|Therophyte|||||7|No|4||Not continental|6|autotrophic|self-supporting|40|18.4|||||3.31|therophyte|||7|solitary|4|15|16.0|none||||||33.7|1.55|||||none|hermaphrodite|||Little or no vegetative spread||||||compound|numerous|1-3 times as long as wide|||||Vulnerable||none||||||glabrous||No Data|red|spring|||||||||7||||height > width|||numerous|||||fertile, infertile, very infertile|||6||||entire||0|numerous|pointed|does not kill insects||||||||none|745.0|8.515|4.8|3.8|||non-woody|||||||homogamous|||Mediterranean-Atlantic||||scattered||Oceanic|610180070|adonis|||||none|239.0|||7.0|4.0|7.0|4.0|0.0|AR|VU|-2.19|40.0||a||Th||h|0||9|1||3.8|16.0|745.0|scattered
adoxa_moschatellina|cordate|1570||||lower|3|Africa, Asia, Europe, North America|||none|C3|diffuse ramets|5, nan|4.3||||5|36, 54, 72||-0.05||||||5||||||||0||<1|transient|5||||petiolate|5||0.3|37||0, 0, 0|1066||insect|native|Non-bulbous geophyte|8||<45||3, 4, 5|No|5, 8, 8||Not continental||autotrophic|self-supporting|10||||||4.53|geophyte|||6, 7, 7|head|5, 6, 6|21|15.0|none||0||||28.6|3.07|||||rhizomes|hermaphrodite||cross or automatic self|Rhizome shortly creeping|Present|||||compound|5|length = width|||||||none|||glabrous|||glabrous||No|green|spring||||10-100||5.2|>65|45|4|||26|height = width||1-10|5|||||fertile, very fertile|||||||lobed|||5|mucronate|does not kill insects|||6.8||0|||deep, light, mid, none|1005.0|0.71, 39||3.3|||non-woody|||||||homogamous, weakly protogynous|||Boreo-Temperate||||frequent||Circumpolar|1650010010|adoxa||mixed|mixed|mixed|none|1722.0|n|n|4.0|5.0|6.0|5.0|0.0|N||-0.05|12.0||p||Gn||h|Rhiz1||5|6||3.3|14.9|1005.0|frequent
aegopodium_podagraria|rounded|1578|absolute|||lower|5|Asia, Europe||||C3|diffuse ramets|5, 5x|||||40|22, c. 44||-0.45||||||3|||unspecialised||||seed and vegetative|0||<1|short-term persistent, transient|5||||petiolate|7||0.05|||0, 0, 1|411||insect|naturalised|Hemicryptophyte|||||5, 6, 6x|No|7, 8, 8||Not continental|4|autotrophic|self-supporting|100||||||4.4|hemicryptophyte|||6, 7, 7|umbel|5, 6, 6|19|15.0|none|<100|0|||||3.62|||||rhizomes|andromonoecious|||Rhizome far creeping||||||compound|5|1-3 times as long as wide|||||||none|||glabrous|||glabrous||No Data|white|spring||||||||266|5||||height = width|absolute|10-100, 100-1000|2|||||fertile, very fertile|||||||toothed|||1|pointed|does not kill insects|||||0||aestival|deep, light, mid, none|1064.0|1.99, 2.2||3.6|||non-woody||||||||||Temperate||||dominant||Euro-Siberian|1290260010|aegopodium|||||none|3364.0|||6.0|5.0|6.0|7.0|0.0|AR||-0.45|100.0||p||hc||h|Rhiz2||7|4||3.6|14.6|1064.0|dominant
aeonium_cuneatum|||||||10|||||||||||||||||||||||||||||||||10|||||||0.75||||||||||||||||||||||||||||||||cyme|||||||||||||||||||||||||||20|||||||||||||||||yellow|||||||||||||||||10|||||||||||||||10||||||||||||||||||||||||||||||||||920007137|aeonium||||||||||||||||||||||||||||||||
aesculus_carnea|||||||5|||||||||||2.75||||||||||||||||||||||4|||||||1||||||||||||||||||||||||||||||||panicle|||||||||||||||||||||||||||6|||||||||||||||||red|||||||||||||||||1|1.53||||||||||||||1||||||||||||||||||||||3||||||||||||920002420|aesculus||||||||||||||||||||||||||||||||
aesculus_hippocastanum|200, cuneate|1616|||||5|Europe||||||6, nan||||2.82||24|||||||||||carried by mammals||||seed||polycarpic|100-500||4||||petiolate|6||1|||0, nan||1-10|insects|naturalised||||||4, nan||7, nan|regular||60|autotrophic|self supporting|25||||Autumn||||||6, nan|panicle|5, nan|||none||||||1.2|||||||andromonoecious||normally cross|||2||||compound|6|length=width|||||||||2.6|glabrous|||glabrous|||white||||||||||4|||25.4|height > width|||1|1.39|||spines|fertile|||80||||crenate-serrate|||1|acuminate|does not kill insects|||||||aestival, megaphanerophyte|light||12976, 4023.7||||5|woody|||3900||3.43||protandrous, protogynous||||free draining|viscid|||||970010010|aesculus||mixed|normally cross|generally cross||2755.0|||5.0|5.0|7.0|7.0|0.0|AN||1.08|3200.0||p||Ph||w|0|||||3.6|14.8|1014.0|
aesculus_indica|||||||5|||||||||||||||||||||||||||||||||4|||||||1||||||||||||||||||||||||||||||||panicle|||||||||||||||||||||||||||6|||||||||||||||||white|||||||||||||||||1|||||||||||||||1||||||||||||23994||||||||||||||||||||||920003316|aesculus||||||||||||||||||||||||||||||||
aethusa_cynapium|cuneate|1597|absolute||||5|Africa, Asia, Europe|||none|C3|no ramets|5, nan|||||5|20, 20|1625|-0.41|||||||||unspecialised||||seed||monocarpic|<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5||||petiolate|8|partial|0.1|||0, 0, nan|274|1-10|insect|native|Therophyte|||<45||6, 6, nan|No|6, 7, nan||Not continental|3|autotrophic|self-supporting|120||||||4.11|therophyte|||7, 7, nan|umbel|4, 5, nan|22|15.5|none|100-150|0|||||2.42|||partial|352|none|andromonoecious, hermaphrodite||cross and self|Little or no vegetative spread|Present|2||||compound|5|1-3 times as long as wide|||||||none|||glabrous|||glabrous||No|white|autumn, spring|||||||60-65||7||||height > width|absolute, none||2|||||fertile, very fertile|||||||lobed|||1|pointed|does not kill insects|North America||||0||aestival|none|863.0|1.57, 1.64||3.6|||non-woody||||20|||homogamous, protogynous, weakly protandrous|||Temperate||||frequent||European|1290350010|aethusa||mixed|mixed|mixed|none|1649.0|n|n|6.0|4.0|7.0|6.0|0.0|||-0.41|100.0||a||Th||h|0||7|3||3.6|15.5|863.0|frequent
agapanthus_praecox|parallel-sided||||||0|||||C3|patch-forming|||||||||||||||||||||||||<1||6||||sessile|||3.3||||||insect|naturalised||||||||||||autotrophic|self-supporting|100|||||||geophyte||0||umbel||||none||||||25.36||||||||||||||||simple|6|>3 times as long as wide|||||||none|||||||||blue||||||||||||||height = width|||1|||||infertile|||||||entire||0|1|pointed|does not kill insects|Europe|||||||none|||||||non-woody||||||||||||||frequent|||1830370010|agapanthus|||||none|||||||||||||||||||||||||||frequent
agave_americana|parallel-sided||||||0|N. America||10||||||||||||||||||||||||||||||6||||sessile|||8.5||||||||||||resistant||||||70||self-supporting|200|||||||||||panicle||||none||||||13.15, 6.10||||||||||||||||simple|6|longer than broad||||||||||||||||yellow||||||||||||||ht = width|||1|||||infertile|||||||spines|||3|acute||Africa, Australasia, Mediterranean Europe, S. America|||||||none||8.98|||||woody|||700||||||||free||salt affected||||1840010010|agave||||||||||||||||||||||||||||||||
ageratum_houstonianum|cordate||||||0|N. America|||||||||||30|20, 40|||||||||||||||||monocarpic|> 1||5|||||10||||||||insect|||||||||||||autotrophic|self supporting|80|||||||||||capitulum||||none|||||||||||||hermaphrodite|||||||||simple|5|length > breadth||||||||||||||||lavender||||||||||6||||height = width||1-10|1|||||fertile|||||||entire|||2|round|does not kill insects||||||||none||0.1||||8|not woody||fibrous|||||||||free draining||||||920007935|ageratum|compositae|||||||||||||||||||||||||||||||
aremonia_agrimonioides|cuneate||||||5|Asia, Europe||||C3|||||||20|35|||||||||||||||seed|||<1||5||||petiolate|7||0.425||||||insect|naturalised||||||||||||autotrophic|self-supporting|40||||||0.8|hemicryptophyte||||cyme||12||none||||||2.48|6.85||||||hermaphrodite|||||||||compound|7|>3 times as long as wide|||||||none|||||||||yellow||||||||||6||||height = width|||2|||||fertile, infertile|||||||toothed|||2|pointed|does not kill insects||||||||light, mid|||||||non-woody|||||||||||||||||800120010|aremonia|||||none|||||||||||||||||||||||||||
agrimonia_eupatoria|cuneate|1551||||both, both|5|Africa, Asia, Europe, Macaronesia|||none|C3||6, 6|||||30|28||-0.89||||||4||||||||0.18, 1||<1|short-term persistent, transient|5||||petiolate|8||0.375|||0, 0, 1|490|1-10|insect|native|Hemicryptophyte|||<45||7, 7, 7|No|4, 4, 4||Not continental||autotrophic|self-supporting|60|||no persistent seedbank recorded|||4.52|hemicryptophyte|||7, 8, 8|raceme|4, 4, 4|30|15.0|none||0|||||2.58|||||rhizomes|hermaphrodite||cross and self|Little or no vegetative spread|Present|2||||compound|13|>3 times as long as wide|||day-neutral||||none|||soft hairs|||soft hairs||No|yellow|spring||||66|||60-65|200, 230.76|6|||48|height > width|absolute|10-100|2||||spines|fertile, infertile||||||4300|toothed|||2|pointed|does not kill insects|||||0||aestival|none|953.0|13, 2.96||3.8|||non-woody|||||||homogamous|||Southern Temperate||||frequent||Euro-Siberian|800110020|agrimonia||mixed|mixed|mixed|none|2400.0|n|n|7.0|4.0|7.0|4.0|0.0|N||-0.89|60.0||p||hc||h|0||8|4||3.8|15.1|953.0|frequent
agrimonia_procera|cuneate|1853|||||5|Europe||||C3||6, 6||||||56||-0.38||||||3||||||||||<1||5|declining|||petiolate|8||0.5|||0, 0, 0|335||insect|native|Hemicryptophyte|||<45||5, 5, 6|No|4, 5, 5||Not continental||autotrophic|self-supporting|||||||5.3|hemicryptophyte|Lough Neagh, Co. Atrim also Devon &||6, 6, 7|raceme|5, 5, 6|23|15.0|none||0|||||2.65|||||rhizomes|hermaphrodite|||Little or no vegetative spread|Present|||||compound|12|>3 times as long as wide|||||||none|||glandular, soft hairs|||||No|yellow|autumn|||||||60-65||6||||height > width|||2|||||infertile, very infertile|||||||toothed|||2|pointed|does not kill insects|||||0|||light|1026.0|32.92||3.9|||non-woody||||||||||Temperate||||||European|800110030|agrimonia|||||none|986.0|n|n|5.0|6.0|7.0|5.0|0.0|N||-0.38|100.0||p||hc||h|0||7|3||3.9|15.1|1026.0|
elymus_caninus|parallel-sided||none||||0|Asia, Europe|||none|C3||5, 6|||||30|28||0.27||||1.1||3|||||||seed||polycarpic|<1|short-term persistent, transient|0|declining|||sheathing|7||0|||0, 0, 0|411, 610||wind|native|Hemicryptophyte|||<45||5, 6, 7|No|7, 8, 8||Not continental|10.5|autotrophic|self-supporting|100||||autumn||4.05|hemicryptophyte||0|7, 7, 7|spike|6, 6, 6|28|15.0|none||||||17.10, 19.15|3.22||||||hermaphrodite|epigeal|normally cross|Tussock forming graminoid|Present|||||simple|3|>3 times as long as wide||0.83|||||none|||glabrous, hairy|||||No|green|autumn, spring||short|||||>65||7||||height > width||10-100|2|||||fertile, very fertile|0.83||6||||entire, entire||0|4|pointed|does not kill insects||||||1|evergreen|light, mid|981.0|3.1, 3.6, 4.0239, 4.04||3.3|0.15||non-woody||fibrous|||||protogynous|||Boreo-Temperate|free-draining|||frequent||Euro-Siberian|1930480050|elymus|poaceae|mixed|normally cross|generally cross|none|1791.0|n|n|7.0|6.0|7.0|8.0|0.0|N||0.27|110.0||p||hc||h|0gr||5|4||3.3|14.9|981.0|frequent
elytrigia_juncea|parallel-sided||||||0|Europe||||C3|diffuse ramets||||||20|28||-0.28||||1.55||||||||||||<1||0||||sheathing|8||0|||3|||wind|native|Hemicryptophyte|||<45||9|No|6||Not continental||autotrophic|self-supporting|60||||||5.13|hemicryptophyte||0|7|spike|5|28|14.5|none||0||||32.7, 5.85|4.07|||||rhizomes||||Rhizome far creeping|Present|||||simple|3|>3 times as long as wide||1.45|||||none|||soft hairs|||||No|green||||||||60-65||6||||height = width||1-10|2||||soft hairs|fertile|1.45||||||entire, entire||0|4|pointed|does not kill insects|||||0|1.25||none|1050.0|13.1, 55, 6.2||4.4|0.075||non-woody||fibrous||||||||Southern Temperate|||salt-affected|frequent||European|1930480220|elytrigia|poaceae||||none|761.0|n|n|9.0|5.0|7.0|6.0|3.0|N||-0.28|55.0||p||hc||h|Rhiz2||8|3||4.4|14.5|1050.0|frequent
elytrigia_atherica|parallel-sided||||||0|Africa, Europe||||C3|diffuse ramets||||||10|42|1200|0.32||||0.9||||||||||||<1|seedbank present, type uncertain, transient|0||||sheathing|9||0|10-20||4|||wind|native|Hemicryptophyte|||<45||9|No|6||Not continental||autotrophic|self-supporting|120||||||4.42|hemicryptophyte||0|7|spike|6|18|16.0|none||0||||35.3|1.69||||733|rhizomes||||Rhizome far creeping|Present||1-2|||simple|3|>3 times as long as wide||0.9|||||none|||glabrous|||||No|green|||inrolled|||||55-60||7||short, narrow||height = width||1-10|2||||||0.9||||||entire, entire||0|4|pointed|does not kill insects|||||0|0.9|||863.0|4.2, 4.53||4.6|0.1||non-woody||fibrous||500||||||Southern Temperate|||saline|dominant||European|1930480170|elytrigia|poaceae||||none|419.0|n|n|9.0|6.0|7.0|6.0|4.0|N||0.32|105.0||p||hc||h|Rhiz2||8|3||4.6|15.9|863.0|dominant
